WKT,SERIES,COUNTY,SHEET_MAP,SHEET_NO,EDITION,SURV_RANG,PUB_RANGE,SURV_SORT,PUB_SORT,IMAGE,SHEET,DATES,IMAGETHUMB,IMAGEURL,YEAR
"MULTIPOLYGON (((-3.30567394690139 55.8860518264866,-3.30579889983286 55.9005052836406,-3.26720899614519 55.9006045908487,-3.26709840238464 55.8861510777961,-3.30567394690139 55.8860518264866)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.5,007_05,"2",1892 to 1893,"1894","1892","1894","82877892","Edinburghshire, VII.5","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1892 to 1893<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82877892.4.jpg,https://maps.nls.uk/view/82877892,"1894"
"MULTIPOLYGON (((-3.18994693828201 55.8863133922505,-3.19002888227374 55.9007668904947,-3.15143860733045 55.9008300830056,-3.15137199329922 55.886376297162,-3.18994693828201 55.8863133922505)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.8,007_08,"2",1892 to 1893,"1894","1892","1894","82877928","Edinburghshire, VII.8","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1892 to 1893<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82877928.4.jpg,https://maps.nls.uk/view/82877928,"1894"
"MULTIPOLYGON (((-3.30554910716965 55.8715983250667,-3.30567394690139 55.8860518264866,-3.26709840238464 55.8861510777961,-3.2669879532332 55.8716974963812,-3.30554910716965 55.8715983250667)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.9,007_09,"2","1892","1894","1892","1894","82877940","Edinburghshire, VII.9","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1892<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82877940.4.jpg,https://maps.nls.uk/view/82877940,"1894"
"MULTIPOLYGON (((-3.2669879532332 55.8716974963812,-3.26709840238464 55.8861510777961,-3.22852278744926 55.8862381586815,-3.22842665803022 55.8717846507093,-3.2669879532332 55.8716974963812)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.10,007_10,"2","1892","1894","1892","1894","82877949","Edinburghshire, VII.10","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1892<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82877949.4.jpg,https://maps.nls.uk/view/82877949,"1894"
"MULTIPOLYGON (((-3.22842665803022 55.8717846507093,-3.22852278744926 55.8862381586815,-3.18994693828201 55.8863133922505,-3.18986595218281 55.8718596418148,-3.22842665803022 55.8717846507093)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.11,007_11,"2","1892","1894","1892","1894","82877958","Edinburghshire, VII.11","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1892<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82877958.4.jpg,https://maps.nls.uk/view/82877958,"1894"
"MULTIPOLYGON (((-3.18986595218281 55.8718596418148,-3.18994693828201 55.8863133922505,-3.15137199329922 55.886376297162,-3.15130561786472 55.8719223746588,-3.18986595218281 55.8718596418148)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.12,007_12,"2","1892","1894","1892","1894","82877967","Edinburghshire, VII.12","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1892<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82877967.4.jpg,https://maps.nls.uk/view/82877967,"1894"
"MULTIPOLYGON (((-3.15137199329922 55.886376297162,-3.15143860733045 55.9008300830056,-3.11285022000028 55.9008808036615,-3.11279752980166 55.8864269337664,-3.15137199329922 55.886376297162)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VIII.5,008_05,"2",1892 to 1893,"1894","1892","1894","82878054","Edinburghshire, VIII.5","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1892 to 1893<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82878054.4.jpg,https://maps.nls.uk/view/82878054,"1894"
"MULTIPOLYGON (((-3.11279752980166 55.8864269337664,-3.11285022000028 55.9008808036615,-3.07426109646886 55.9009197340141,-3.07422210721001 55.8864657451219,-3.11279752980166 55.8864269337664)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VIII.6,008_06,"2",1892 to 1893,"1894","1892","1894","82878066","Edinburghshire, VIII.6","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1892 to 1893<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82878066.4.jpg,https://maps.nls.uk/view/82878066,"1894"
"MULTIPOLYGON (((-3.15130561786472 55.8719223746588,-3.15137199329922 55.886376297162,-3.11279752980166 55.8864269337664,-3.1127442346358 55.871973106658,-3.15130561786472 55.8719223746588)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VIII.9,008_09,"2",1892 to 1893,"1894","1892","1894","82878096","Edinburghshire, VIII.9","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1892 to 1893<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82878096.4.jpg,https://maps.nls.uk/view/82878096,"1894"
"MULTIPOLYGON (((-3.30579889983286 55.9005052836406,-3.30592408494716 55.9149586451726,-3.26731981460477 55.9150580574464,-3.26720899614519 55.9006045908487,-3.30579889983286 55.9005052836406)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.1,007_01,"2","1893","1894","1893","1894","82877844","Edinburghshire, VII.1","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82877844.4.jpg,https://maps.nls.uk/view/82877844,"1894"
