29-01-2023 21:22:11 INFO Running main & importing modules...
29-01-2023 21:22:35 INFO Parsed arguments: Namespace(batch_size=32, byol_ema_tau=0.99, debug=False, encoder='resnet18', encoder_layer_idx=-2, epochs=5, experiment_name='b-resnet18-e5-b32-t0_99-p64', input='/disk/scratch_big/s1908368/data', log_interval=1000, lr=0.001, output='/disk/scratch_big/s1908368/output', patch_size=64, pretrain_encoder=False, seed=23, simclr_tau=0.99, train_proportion=0.98, use_byol=True)
29-01-2023 21:22:35 INFO File at /disk/scratch_big/s1908368/data/patch_train_dataset_64.pk: False
29-01-2023 21:22:35 INFO File at /disk/scratch_big/s1908368/data/patch_val_dataset_64.pk: False
29-01-2023 21:22:35 INFO Directories found: ['1', '10', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '51', '52', '53', '54', '55', '56', '57', '6', '7', '8', '9']
29-01-2023 21:22:35 INFO Files in first directory: ['82877289.png', '82877292.png', '82877286.png']
29-01-2023 21:22:35 INFO Fetching patches from folder: 51
29-01-2023 21:22:40 INFO Fetching patches from folder: 52
29-01-2023 21:22:44 INFO Fetching patches from folder: 19
29-01-2023 21:22:55 INFO Fetching patches from folder: 32
29-01-2023 21:23:05 INFO Fetching patches from folder: 33
29-01-2023 21:23:15 INFO Fetching patches from folder: 18
29-01-2023 21:23:28 INFO Fetching patches from folder: 4
29-01-2023 21:23:36 INFO Fetching patches from folder: 1
29-01-2023 21:23:47 INFO Fetching patches from folder: 14
29-01-2023 21:23:56 INFO Fetching patches from folder: 2
29-01-2023 21:24:04 INFO Fetching patches from folder: 36
29-01-2023 21:24:12 INFO Fetching patches from folder: 39
29-01-2023 21:24:22 INFO Fetching patches from folder: 38
29-01-2023 21:24:31 INFO Fetching patches from folder: 46
29-01-2023 21:24:36 INFO Fetching patches from folder: 3
29-01-2023 21:24:44 INFO Fetching patches from folder: 41
29-01-2023 21:24:48 INFO Fetching patches from folder: 53
29-01-2023 21:24:53 INFO Fetching patches from folder: 40
29-01-2023 21:24:59 INFO Fetching patches from folder: 13
29-01-2023 21:25:09 INFO Fetching patches from folder: 5
29-01-2023 21:25:18 INFO Fetching patches from folder: 47
29-01-2023 21:25:22 INFO Fetching patches from folder: 25
29-01-2023 21:25:36 INFO Fetching patches from folder: 7
29-01-2023 21:25:44 INFO Fetching patches from folder: 48
29-01-2023 21:25:47 INFO Fetching patches from folder: 50
29-01-2023 21:25:51 INFO Fetching patches from folder: 26
29-01-2023 21:26:03 INFO Fetching patches from folder: 9
29-01-2023 21:26:13 INFO Fetching patches from folder: 12
29-01-2023 21:26:17 INFO Fetching patches from folder: 49
29-01-2023 21:26:20 INFO Fetching patches from folder: 15
29-01-2023 21:26:30 INFO Fetching patches from folder: 42
29-01-2023 21:26:35 INFO Fetching patches from folder: 43
29-01-2023 21:26:41 INFO Fetching patches from folder: 45
29-01-2023 21:26:45 INFO Fetching patches from folder: 22
29-01-2023 21:26:54 INFO Fetching patches from folder: 16
29-01-2023 21:27:06 INFO Fetching patches from folder: 55
29-01-2023 21:27:11 INFO Fetching patches from folder: 30
29-01-2023 21:27:21 INFO Fetching patches from folder: 6
29-01-2023 21:27:28 INFO Fetching patches from folder: 35
29-01-2023 21:27:37 INFO Fetching patches from folder: 8
29-01-2023 21:27:45 INFO Fetching patches from folder: 17
29-01-2023 21:27:58 INFO Fetching patches from folder: 37
29-01-2023 21:28:06 INFO Fetching patches from folder: 34
29-01-2023 21:28:15 INFO Fetching patches from folder: 10
29-01-2023 21:28:24 INFO Fetching patches from folder: 24
29-01-2023 21:28:35 INFO Fetching patches from folder: 56
29-01-2023 21:28:39 INFO Fetching patches from folder: 31
29-01-2023 21:28:51 INFO Fetching patches from folder: 23
29-01-2023 21:29:03 INFO Fetching patches from folder: 54
29-01-2023 21:29:07 INFO Fetching patches from folder: 57
29-01-2023 21:29:10 INFO Fetching patches from folder: 20
29-01-2023 21:29:13 INFO Fetching patches from folder: 29
29-01-2023 21:29:21 INFO Fetching patches from folder: 21
29-01-2023 21:29:29 INFO Fetching patches from folder: 44
29-01-2023 21:29:35 INFO Generated 357207 positive pairs, after removing 264063 positive pairs.
29-01-2023 21:30:30 INFO Generated training dataset with 350062 samples.
29-01-2023 21:30:30 INFO Generated validation dataset with 7145 samples.
29-01-2023 21:30:31 INFO Using encoder resnet18 with pretrained weights = False
29-01-2023 21:30:32 INFO Using BYOL with tau = 0.99, with encoder layer index = -2
29-01-2023 21:30:32 INFO Using device: cuda
29-01-2023 21:30:42 INFO Starting Epoch: 1
29-01-2023 21:31:02 INFO Epoch 1: [12/10940] ---- BYOL Training Loss = 1.8448057174682617
29-01-2023 21:31:19 INFO Epoch 1: [23/10940] ---- BYOL Training Loss = 1.4801280498504639
29-01-2023 21:31:37 INFO Epoch 1: [34/10940] ---- BYOL Training Loss = 1.328916072845459
29-01-2023 21:31:55 INFO Epoch 1: [45/10940] ---- BYOL Training Loss = 1.0922855138778687
29-01-2023 21:32:46 INFO Epoch 1: [45/10940] ---- BYOL Validation Loss = 1.7971700429916382
29-01-2023 21:33:04 INFO Epoch 1: [56/10940] ---- BYOL Training Loss = 0.9275432825088501
29-01-2023 21:33:21 INFO Epoch 1: [67/10940] ---- BYOL Training Loss = 0.7903876304626465
29-01-2023 21:33:39 INFO Epoch 1: [78/10940] ---- BYOL Training Loss = 0.800524890422821
29-01-2023 21:33:56 INFO Epoch 1: [89/10940] ---- BYOL Training Loss = 0.856820285320282
29-01-2023 21:34:48 INFO Epoch 1: [89/10940] ---- BYOL Validation Loss = 0.8169495463371277
29-01-2023 21:35:05 INFO Epoch 1: [100/10940] ---- BYOL Training Loss = 0.7740164399147034
29-01-2023 21:35:23 INFO Epoch 1: [111/10940] ---- BYOL Training Loss = 0.7383565902709961
29-01-2023 21:35:40 INFO Epoch 1: [122/10940] ---- BYOL Training Loss = 0.7059262990951538
29-01-2023 21:35:58 INFO Epoch 1: [133/10940] ---- BYOL Training Loss = 0.7248938679695129
29-01-2023 21:36:50 INFO Epoch 1: [133/10940] ---- BYOL Validation Loss = 1.4090946912765503
29-01-2023 21:37:07 INFO Epoch 1: [144/10940] ---- BYOL Training Loss = 0.6892465353012085
29-01-2023 21:37:25 INFO Epoch 1: [155/10940] ---- BYOL Training Loss = 0.6755738854408264
29-01-2023 21:37:42 INFO Epoch 1: [166/10940] ---- BYOL Training Loss = 0.6306731104850769
29-01-2023 21:38:00 INFO Epoch 1: [177/10940] ---- BYOL Training Loss = 0.6852617263793945
29-01-2023 21:38:52 INFO Epoch 1: [177/10940] ---- BYOL Validation Loss = 0.7348045110702515
29-01-2023 21:39:09 INFO Epoch 1: [188/10940] ---- BYOL Training Loss = 0.6809324026107788
29-01-2023 21:39:26 INFO Epoch 1: [199/10940] ---- BYOL Training Loss = 0.674277663230896
29-01-2023 21:39:44 INFO Epoch 1: [210/10940] ---- BYOL Training Loss = 0.8231288194656372
29-01-2023 21:40:01 INFO Epoch 1: [221/10940] ---- BYOL Training Loss = 0.8180434107780457
29-01-2023 21:40:54 INFO Epoch 1: [221/10940] ---- BYOL Validation Loss = 2.858131170272827
29-01-2023 21:41:11 INFO Epoch 1: [232/10940] ---- BYOL Training Loss = 0.7803667783737183
29-01-2023 21:41:28 INFO Epoch 1: [243/10940] ---- BYOL Training Loss = 0.7314965128898621
29-01-2023 21:41:46 INFO Epoch 1: [254/10940] ---- BYOL Training Loss = 0.7567728757858276
29-01-2023 21:42:03 INFO Epoch 1: [265/10940] ---- BYOL Training Loss = 0.758009135723114
29-01-2023 21:42:55 INFO Epoch 1: [265/10940] ---- BYOL Validation Loss = 0.9989407658576965
29-01-2023 21:43:12 INFO Epoch 1: [276/10940] ---- BYOL Training Loss = 0.8151691555976868
29-01-2023 21:43:30 INFO Epoch 1: [287/10940] ---- BYOL Training Loss = 0.8381900787353516
29-01-2023 21:43:47 INFO Epoch 1: [298/10940] ---- BYOL Training Loss = 0.8044697046279907
29-01-2023 21:44:05 INFO Epoch 1: [309/10940] ---- BYOL Training Loss = 0.8162544369697571
29-01-2023 21:44:57 INFO Epoch 1: [309/10940] ---- BYOL Validation Loss = 1.4636353254318237
29-01-2023 21:45:14 INFO Epoch 1: [320/10940] ---- BYOL Training Loss = 0.6973451972007751
29-01-2023 21:45:32 INFO Epoch 1: [331/10940] ---- BYOL Training Loss = 0.6471270322799683
29-01-2023 21:45:49 INFO Epoch 1: [342/10940] ---- BYOL Training Loss = 0.7296102046966553
